ID,FIELD-0000,FIELD-0001,FIELD-0002,FIELD-0003,FIELD-0004,FIELD-0005,FIELD-0006,FIELD-0007,FIELD-0008
EC-01,2324349,1033373,1164286,36729,72445,5698,3040,8778,0
EC-01A,121603,57180,57824,2715,3073,177,150,484,0
EC-01B,201654,97624,94103,2510,5669,729,251,768,0
EC-01C,89855,43088,42243,1441,2288,268,127,400,0
EC-01D,93290,42731,45924,1339,2601,248,139,308,0
EC-01E,54912,24386,27953,476,1712,220,80,85,0
EC-01F,88962,40176,43754,1570,2893,267,133,169,0
EC-01G,95506,42546,47877,1945,2463,259,111,305,0
EC-01H,191687,86830,93394,4612,5442,446,217,746,0
EC-01I,107925,48047,52739,2580,3577,389,165,428,0
EC-01J,252041,107215,132159,3123,7758,550,308,928,0
EC-01K,179074,76661,91081,2614,7036,365,278,1039,0
EC-01L,237905,100595,124465,2628,8561,439,324,893,0
EC-01M,196423,86971,99135,2892,6019,510,261,635,0
EC-01N,245232,105649,126760,2809,8243,487,307,977,0
EC-01O,168280,73674,84875,3475,5110,344,189,613,0
EC-02,2304833,1002633,1146643,41254,93806,4985,3381,12131,0
EC-02A,175525,78156,87327,2131,6512,358,218,823,0
EC-02B,142136,63591,66013,4977,6321,345,181,708,0
EC-02C,235291,105379,115240,5011,7702,395,324,1240,0
EC-02D,144506,59884,72901,2479,7504,314,295,1129,0
EC-02E,164580,69993,81937,3579,7355,352,301,1063,0
EC-02F,178331,75920,88589,4552,7629,404,270,967,0
EC-02G,179565,77925,89602,1586,8725,451,280,996,0
EC-02H,197667,83644,100910,2624,8783,464,289,953,0
EC-02I,201521,87176,102286,3419,7135,408,234,863,0
EC-02J,207782,89847,106026,1467,8656,492,290,1004,0
EC-02K,154005,65553,77218,2687,6990,374,270,913,0
EC-02L,186585,82103,92968,4047,6058,364,219,826,0
EC-02M,137339,63462,65626,2695,4436,264,210,646,0
EC-03,1221948,527736,617448,17294,48951,2570,1656,6293,0
EC-03A,182285,79163,91983,3064,6759,370,268,678,0
EC-03B,161412,68605,82940,1605,6744,350,229,939,0
EC-03C,167260,69483,87389,1692,7051,360,241,1044,0
EC-03D,98981,40429,51594,1353,4458,257,159,731,0
EC-03E,145246,62833,72197,2686,6236,279,195,820,0
EC-03F,159697,70237,79745,2499,6206,310,165,535,0
EC-03G,164969,77427,78443,2492,5436,368,187,616,0
EC-03H,142098,59559,73157,1903,6061,276,212,930,0
EC-04,1375382,622816,660880,31223,50974,2590,1794,5105,0
EC-04A,67628,29056,33865,1147,2954,149,122,335,0
EC-04B,209488,97744,98569,3523,8110,424,329,789,0
EC-04C,115019,51862,54235,3203,4984,202,117,416,0
EC-04D,74388,30615,39540,1388,2357,105,86,297,0
EC-04E,61034,26813,30604,969,2229,105,78,236,0
EC-04F,127070,57538,61801,2770,4192,223,147,399,0
EC-04G,58188,25456,28274,2053,2010,101,51,243,0
EC-04H,62544,28402,29549,2166,2060,117,96,154,0
EC-04I,96017,46904,42930,2990,2556,238,126,273,0
EC-04J,106027,47136,52571,1994,3637,182,125,382,0
EC-04K,110905,51525,52647,1739,4250,233,151,360,0
EC-04L,80187,36389,38729,1298,3195,114,99,363,0
EC-04M,206887,93376,97566,5983,8440,397,267,858,0
EC-05,484531,208568,243607,8849,19084,970,782,2671,0
EC-05A,171913,72951,87011,3425,6760,336,304,1126,0
EC-05B,88131,36137,46210,1864,3206,121,96,497,0
EC-05C,105106,46935,51521,1712,4021,256,194,467,0
