ID,FIELD-0000,FIELD-0001,FIELD-0002,FIELD-0003
EC-01,653381,640602,10116,2663
EC-01A,30242,29942,242,58
EC-01B,44737,43384,688,665
EC-01C,19952,19471,355,126
EC-01D,26556,26089,360,107
EC-01E,18508,18178,235,95
EC-01F,27361,26920,305,136
EC-01G,28976,28169,721,86
EC-01H,50262,49557,578,127
EC-01I,32542,31664,673,205
EC-01J,76738,75330,1185,223
EC-01K,51892,51067,721,104
EC-01L,70419,69269,937,213
EC-01M,56834,55533,1114,187
EC-01N,71863,70448,1152,263
EC-01O,46499,45581,850,68
EC-02,673017,664029,7931,1057
EC-02A,48368,47634,589,145
EC-02B,39236,38834,322,80
EC-02C,80816,79518,1254,44
EC-02D,43269,42853,370,46
EC-02E,47903,47450,393,60
EC-02F,51663,51036,565,62
EC-02G,50199,49564,553,82
EC-02H,56959,56420,439,100
EC-02I,60340,59545,697,98
EC-02J,58637,58063,509,65
EC-02K,43827,43325,428,74
EC-02L,53933,52986,821,126
EC-02M,37867,36801,991,75
EC-03,340456,337570,2657,229
EC-03A,48589,48132,399,58
EC-03B,45178,44783,343,52
EC-03C,48936,48412,489,35
EC-03D,29818,29595,207,16
EC-03E,41821,41537,267,17
EC-03F,42987,42608,343,36
EC-03G,39590,39317,266,7
EC-03H,43537,43186,343,8
EC-04,388560,384714,3440,406
EC-04A,20180,19935,233,12
EC-04B,54143,53666,418,59
EC-04C,32642,32409,206,27
EC-04D,23165,22908,236,21
EC-04E,18623,18460,158,5
EC-04F,36418,35981,395,42
EC-04G,16941,16766,163,12
EC-04H,17830,17622,170,38
EC-04I,24793,24320,415,58
EC-04J,30147,29853,256,38
EC-04K,30190,29874,296,20
EC-04L,23890,23727,158,5
EC-04M,59598,59193,336,69
EC-05,145745,144091,1434,220
EC-05A,52279,51528,591,160
EC-05B,27887,27549,330,8
EC-05C,29777,29496,254,27
EC-05D,35802,35518,259,25
EC-06,201625,200067,1342,216
EC-06A,114075,113258,664,153
EC-06B,28231,27982,219,30
EC-06C,27891,27643,240,8
EC-06D,31428,31184,219,25
EC-07,316083,313412,2519,152
EC-07A,19301,19116,171,14
EC-07B,23509,23374,127,8
EC-07C,29878,29697,168,13
EC-07D,34213,33911,284,18
EC-07E,32228,31943,279,6
EC-07F,53863,53446,400,17
EC-07G,29166,28936,217,13
EC-07H,26308,26037,247,24
EC-07I,36420,36106,300,14
EC-07J,31197,30846,326,25
EC-08,236163,234362,1703,98
EC-08A,36068,35835,213,20
EC-08B,43411,43133,272,6
EC-08C,34800,34539,249,12
EC-08D,27422,27188,226,8
EC-08E,28400,28172,216,12
EC-08F,31610,31281,297,32
EC-08G,34452,34214,230,8
EC-09,181660,179939,1578,143
EC-09A,39867,39557,297,13
EC-09B,21936,21707,207,22
EC-09C,57000,56513,453,34
EC-09D,62857,62162,621,74
EC-10,190520,189928,550,42
EC-10A,13495,13462,33,0
EC-10B,12291,12269,22,0
EC-10C,21411,21359,45,7
EC-10D,13826,13790,36,0
EC-10E,18319,18269,45,5
EC-10F,12808,12790,14,4
EC-10G,18531,18486,41,4
EC-10H,18310,18278,30,2
EC-10I,17696,17637,54,5
EC-10J,12055,11993,58,4
EC-10K,31778,31595,172,11
EC-11,104671,103955,682,34
EC-11A,27891,27690,189,12
EC-11B,48006,47680,317,9
EC-11C,28774,28585,176,13
EC-12,154793,154302,473,18
EC-12A,36853,36760,91,2
EC-12B,36997,36887,105,5
EC-12C,80943,80655,277,11
EC-13,187792,186773,905,114
EC-13A,58695,58149,482,64
EC-13B,37759,37650,100,9
EC-13C,41118,41010,88,20
EC-13D,50220,49964,235,21
EC-14,113475,112636,797,42
EC-14A,57182,56766,393,23
EC-14B,38726,38362,347,17
EC-14C,17567,17508,57,2
EC-15,496882,492334,4222,326
EC-15A,35221,34917,283,21
EC-15B,37226,36889,315,22
EC-15C,50017,49553,442,22
EC-15D,38267,37965,275,27
EC-15E,19109,18968,122,19
EC-15F,29528,29263,244,21
EC-15G,36147,35889,242,16
EC-15H,38659,38276,374,9
EC-15I,39827,39453,367,7
EC-15J,36269,35911,316,42
EC-15K,40929,40482,413,34
EC-15L,49364,48912,395,57
EC-15M,19210,19007,189,14
EC-15N,27109,26849,245,15
EC-16,234376,232559,1625,192
EC-16A,52116,51677,400,39
EC-16B,33289,33024,252,13
EC-16C,71145,70621,458,66
EC-16D,35467,35198,240,29
EC-16E,42359,42039,275,45
EC-17,257138,254339,2544,255
EC-17A,27495,27221,258,16
EC-17B,35844,35501,321,22
EC-17C,28807,28407,362,38
EC-17D,22022,21801,207,14
EC-17E,51595,51210,358,27
EC-17F,58847,58072,691,84
EC-17G,32528,32127,347,54
EC-18,125069,123882,1036,151
EC-18A,33209,32854,310,45
EC-18B,31217,31025,171,21
EC-18C,60643,60003,555,85
EC-19,237965,235944,1824,197
EC-19A,38359,38027,296,36
EC-19B,19827,19650,169,8
EC-19C,24129,23958,143,28
EC-19D,20954,20620,287,47
EC-19E,26365,26204,151,10
EC-19F,22594,22425,162,7
EC-19G,28011,27827,154,30
EC-19H,31801,31535,253,13
EC-19I,25925,25698,209,18
EC-20,139555,138265,1181,109
EC-20A,33258,32993,255,10
EC-20B,43356,42944,367,45
EC-20C,62941,62328,559,54
EC-21,328502,326169,2008,325
EC-21A,57615,57190,356,69
EC-21B,34751,34461,232,58
EC-21C,25573,25431,125,17
EC-21D,43118,42703,359,56
EC-21E,41500,41220,247,33
EC-21F,42152,41888,228,36
EC-21G,27250,27042,190,18
EC-21H,56543,56234,271,38
EC-22,246238,244375,1717,146
EC-22A,33022,32741,260,21
EC-22B,22173,22020,143,10
EC-22C,26209,26011,185,13
EC-22D,24515,24277,224,14
EC-22E,31292,31071,206,15
EC-22F,20888,20710,172,6
EC-22G,31833,31626,182,25
EC-22H,18508,18367,123,18
EC-22I,37798,37552,222,24
LK,5953666,5894247,52284,7135
LK-1,1666854,1642201,20704,3949
LK-11,653381,640602,10116,2663
LK-1103,74979,73326,930,723
LK-1103005,1823,1818,4,1
LK-1103010,6714,6631,75,8
LK-1103015,4285,4231,47,7
LK-1103020,3069,3057,9,3
LK-1103025,2044,2028,8,8
LK-1103030,3745,3717,21,7
LK-1103035,3173,3125,41,7
LK-1103040,3535,3507,22,6
LK-1103045,1854,1828,15,11
