ID,FIELD-0000,FIELD-0001,FIELD-0002,FIELD-0003,FIELD-0004,FIELD-0005,FIELD-0006
EC-01,572475,165027,54411,346340,1957,432,4308
EC-01A,27872,2015,9915,15723,86,4,129
EC-01B,40373,967,12943,26053,145,3,262
EC-01C,17726,945,4178,12321,174,0,108
EC-01D,22646,1115,2484,18733,177,1,136
EC-01E,13804,173,827,12568,133,0,103
EC-01F,22691,1156,1630,19576,129,3,197
EC-01G,24573,3009,2882,18118,169,88,307
EC-01H,45446,11345,7162,26511,89,13,326
EC-01I,27583,2616,1979,22571,106,5,306
EC-01J,65495,24111,1754,39014,161,47,408
EC-01K,45883,36973,589,8028,55,19,219
EC-01L,62127,31622,1536,28393,114,62,400
EC-01M,50293,9654,1906,38113,131,36,453
EC-01N,63497,20745,2083,39859,149,48,613
EC-01O,42466,18581,2543,20759,139,103,341
EC-02,604009,377713,31866,186989,1092,422,5927
EC-02A,43648,16061,4372,22665,174,31,345
EC-02B,35190,14185,3893,16782,54,60,216
EC-02C,71059,37844,10044,21106,194,56,1815
EC-02D,38841,36341,100,2250,24,5,121
EC-02E,43170,39299,163,3531,52,11,114
EC-02F,46658,38161,410,7872,40,12,163
EC-02G,45213,35769,573,8639,51,17,164
EC-02H,51499,32610,582,17890,92,48,277
EC-02I,53271,26463,2172,23538,109,80,909
EC-02J,52839,31805,1519,19113,95,26,281
EC-02K,39526,35068,200,4077,30,7,144
EC-02L,49008,24370,3841,19900,83,50,764
EC-02M,34087,9737,3997,19626,94,19,614
EC-03,305737,235583,3652,64921,356,298,927
EC-03A,44931,23408,1603,19525,75,92,228
EC-03B,40907,31446,461,8783,36,54,127
EC-03C,43352,34423,358,8377,29,16,149
EC-03D,26281,24140,51,2026,9,4,51
EC-03E,37147,31959,129,4933,39,19,68
EC-03F,38653,26560,517,11273,119,51,133
EC-03G,36483,27901,457,7902,35,53,135
EC-03H,37983,35746,76,2102,14,9,36
EC-04,348019,281035,3793,61823,765,120,483
EC-04A,18055,17095,23,906,17,2,12
EC-04B,50395,41647,246,8307,88,24,83
EC-04C,29206,24470,221,4401,60,3,51
EC-04D,20560,19967,38,483,60,2,10
EC-04E,16310,15401,41,824,30,3,11
EC-04F,32327,24270,367,7543,75,11,61
EC-04G,15127,14232,35,826,21,0,13
EC-04H,15700,7229,265,8102,66,4,34
EC-04I,21530,8398,1176,11787,91,2,76
EC-04J,27305,21675,114,5418,64,5,29
EC-04K,27517,22964,170,4277,58,20,28
EC-04L,20928,19558,131,1168,44,17,10
EC-04M,53059,44129,966,7781,91,27,65
EC-05,129710,117848,614,10881,184,19,164
EC-05A,46512,44037,108,2229,60,2,76
EC-05B,24735,24231,35,438,24,0,7
EC-05C,26806,20821,306,5567,53,12,47
EC-05D,31657,28759,165,2647,47,5,34
EC-06,181182,156693,3402,20234,632,99,122
EC-06A,102953,82924,2937,16466,447,93,86
EC-06B,25887,23986,255,1531,92,6,17
EC-06C,24250,23261,59,884,36,0,10
EC-06D,28092,26522,151,1353,57,0,9
EC-07,273140,228441,1531,41959,180,170,859
EC-07A,17142,14026,111,2922,7,7,69
EC-07B,20786,16263,72,4342,17,6,86
EC-07C,25300,24321,38,889,6,1,45
EC-07D,30030,26861,77,2997,17,13,65
EC-07E,26144,24951,69,1069,11,0,44
EC-07F,46289,42782,94,3311,26,6,70
EC-07G,25544,20562,145,4662,22,28,125
EC-07H,22613,11292,618,10488,22,90,103
EC-07I,32199,23905,191,7920,36,15,132
EC-07J,27093,23478,116,3359,16,4,120
EC-08,206790,179214,772,26075,146,116,467
EC-08A,30381,28823,60,1408,29,5,56
EC-08B,37292,35935,45,1234,25,2,51
EC-08C,30703,28566,49,2002,15,4,67
EC-08D,24361,22255,56,2011,13,4,22
EC-08E,25320,20999,138,4079,14,19,71
EC-08F,28040,16761,232,10901,30,27,89
EC-08G,30693,25875,192,4440,20,55,111
EC-09,156476,145543,307,10129,104,12,381
EC-09A,34496,33389,35,994,12,2,64
EC-09B,19260,17867,27,1312,8,3,43
EC-09C,50132,45672,114,4185,32,1,128
EC-09D,52588,48615,131,3638,52,6,146
EC-10,168692,154725,5811,7481,281,193,201
EC-10A,9708,9448,181,43,8,7,21
EC-10B,10964,10481,204,251,15,4,9
EC-10C,19548,18554,337,586,31,19,21
EC-10D,12460,11719,258,416,22,38,7
EC-10E,17166,16322,293,464,31,45,11
EC-10F,11239,10545,217,461,11,2,3
EC-10G,15413,13948,660,757,32,9,7
EC-10H,16198,15672,255,250,14,4,3
EC-10I,16476,12921,971,2442,57,24,61
EC-10J,11151,7657,1731,1617,51,41,54
EC-10K,28369,27458,704,194,9,0,4
EC-11,90779,80268,2620,7511,203,21,156
EC-11A,23975,21221,604,2046,79,3,22
EC-11B,41908,34770,1586,5319,86,18,129
EC-11C,24896,24277,430,146,38,0,5
EC-12,134966,100662,5366,27340,301,1205,92
EC-12A,31827,25694,1246,4284,151,441,11
EC-12B,32379,29371,598,2201,46,148,15
EC-12C,70760,45597,3522,20855,104,616,66
EC-13,165166,127773,5271,27196,707,4075,144
EC-13A,52135,48483,124,3380,85,4,59
EC-13B,32789,23360,531,6342,260,2277,19
EC-13C,36102,17380,4061,13276,232,1116,37
EC-13D,44140,38550,555,4198,130,678,29
EC-14,96951,79875,2974,13394,462,67,179
EC-14A,49079,45450,343,3137,74,17,58
EC-14B,33087,20628,2479,9443,381,48,108
EC-14C,14785,13797,152,814,7,2,13
EC-15,443349,418508,830,23043,341,14,613
EC-15A,31695,31000,43,550,29,0,73
EC-15B,33485,32731,34,685,12,0,23
EC-15C,44617,43800,52,694,28,0,43
EC-15D,34488,32999,47,1387,19,2,34
EC-15E,16994,16407,16,544,8,0,19
EC-15F,26610,25960,32,589,7,0,22
EC-15G,31758,30824,32,831,5,0,66
EC-15H,33836,32214,65,1480,25,5,47
EC-15I,35371,33448,60,1731,60,2,70
EC-15J,32559,31043,39,1413,17,2,45
EC-15K,36651,34080,81,2402,32,0,56
EC-15L,43945,34816,219,8786,54,2,68
EC-15M,17262,15720,68,1427,23,1,23
EC-15N,24078,23466,42,524,22,0,24
EC-16,202796,177161,3241,21412,264,70,648
EC-16A,44757,36080,1569,6884,110,25,89
EC-16B,28854,28163,69,583,13,0,26
EC-16C,62442,54721,1356,6097,79,18,171
EC-16D,30870,26971,122,3591,27,7,152
EC-16E,35873,31226,125,4257,35,20,210
EC-17,231356,212607,531,17677,257,10,274
EC-17A,25013,23994,56,928,15,2,18
EC-17B,32826,31851,55,863,22,0,35
EC-17C,25954,24036,45,1807,33,3,30
EC-17D,19943,19238,28,642,14,0,21
EC-17E,46428,44383,65,1853,54,2,71
EC-17F,51780,41314,198,10112,95,2,59
EC-17G,29412,27791,84,1472,24,1,40
EC-18,111010,104026,238,6334,200,5,207
EC-18A,29868,27898,57,1785,52,1,75
EC-18B,28068,27241,35,744,17,2,29
EC-18C,53074,48887,146,3805,131,2,103
EC-19,214900,196637,934,16471,458,172,228
EC-19A,34380,33387,39,866,47,0,41
EC-19B,17739,17337,33,339,24,0,6
EC-19C,21398,20592,44,712,40,1,9
EC-19D,18835,12947,294,5412,54,32,96
EC-19E,24057,22469,95,1438,33,13,9
EC-19F,20948,20453,28,442,12,5,8
EC-19G,26047,24328,88,1497,34,86,14
EC-19H,28597,24430,184,3858,75,24,26
EC-19I,22899,20694,129,1907,139,11,19
EC-20,120137,115523,298,3867,326,5,118
EC-20A,28656,27895,77,631,27,2,24
EC-20B,37437,35833,90,1442,33,0,39
EC-20C,54044,51795,131,1794,266,3,55
EC-21,285893,265076,867,19237,366,39,308
EC-21A,51126,46874,146,3981,45,14,66
EC-21B,30385,24943,238,5006,118,13,67
EC-21C,22909,21349,56,1458,17,3,26
EC-21D,37708,34785,123,2731,39,1,29
EC-21E,36051,34470,106,1407,32,4,32
EC-21F,36622,35008,72,1489,26,1,26
EC-21G,22239,21522,41,629,34,0,13
EC-21H,48853,46125,85,2536,55,3,49
EC-22,220749,204729,567,14948,188,42,275
EC-22A,29497,27982,51,1404,13,6,41
EC-22B,19869,18917,44,867,20,7,14
EC-22C,23753,20429,77,3173,35,4,35
EC-22D,22184,20715,41,1386,13,0,29
EC-22E,28124,24328,104,3620,33,3,36
