ID,FIELD-0000,FIELD-0001,FIELD-0002,FIELD-0003,FIELD-0004,FIELD-0005,FIELD-0006
EC-22F,18548,17692,27,795,15,4,15
EC-22G,28635,27536,78,960,16,4,41
EC-22H,16684,15710,40,889,14,5,26
EC-22I,33455,31420,105,1854,29,9,38
LK,5264282,4124667,129896,975262,9770,7606,17081
LK-1,1482221,778323,89929,598250,3405,1152,11162
LK-11,572475,165027,54411,346340,1957,432,4308
LK-1103,68245,2982,22858,41776,231,7,391
LK-1103005,1743,212,1041,481,1,0,8
LK-1103010,6304,447,1864,3936,16,2,39
LK-1103015,3967,210,1117,2627,6,1,6
LK-1103020,2916,244,1894,766,2,0,10
LK-1103025,1995,222,718,1023,6,0,26
LK-1103030,3236,146,739,2327,20,0,4
LK-1103035,2839,86,1143,1572,18,0,20
LK-1103040,3267,446,1224,1566,15,1,15
LK-1103045,1605,2,175,1425,2,0,1
LK-1103050,2210,22,681,1485,10,0,12
LK-1103055,1935,9,592,1318,4,0,12
LK-1103060,1768,8,542,1201,7,0,10
LK-1103065,1689,17,499,1155,1,0,17
LK-1103070,2612,61,1012,1526,6,1,6
LK-1103075,3816,196,1721,1868,8,0,23
LK-1103080,1695,52,513,1120,4,0,6
LK-1103085,1465,59,812,585,1,0,8
LK-1103090,2344,78,683,1562,3,1,17
LK-1103095,2729,153,1371,1184,5,0,16
LK-1103100,1803,24,500,1267,1,0,11
LK-1103105,1342,16,349,971,2,0,4
LK-1103110,1500,15,294,1170,2,0,19
LK-1103115,35,4,2,25,0,0,4
LK-1103120,130,3,3,108,15,0,1
LK-1103125,770,24,237,496,9,0,4
LK-1103130,739,11,215,503,4,0,6
LK-1103135,1425,47,467,899,3,0,9
LK-1103140,795,19,149,614,4,0,9
LK-1103145,1443,24,388,1010,10,0,11
LK-1103150,1793,46,546,1187,3,0,11
LK-1103155,1938,11,265,1643,8,0,11
LK-1103160,1588,24,368,1181,10,0,5
LK-1103165,948,26,199,713,6,1,3
LK-1103170,475,4,42,410,13,0,6
LK-1103175,1386,14,493,852,6,0,21
LK-1106,45446,11345,7162,26511,89,13,326
LK-1106005,1812,249,927,606,2,1,27
LK-1106010,1617,530,628,449,1,1,8
LK-1106015,540,276,47,207,0,0,10
LK-1106020,1254,558,151,521,1,2,21
LK-1106025,476,246,137,86,0,0,7
LK-1106030,1260,108,689,443,4,0,16
LK-1106035,1906,293,609,979,5,0,20
LK-1106040,1083,293,250,520,3,0,17
LK-1106045,1272,342,181,746,1,0,2
LK-1106050,1774,447,225,1092,0,2,8
LK-1106055,867,247,79,540,0,1,0
LK-1106060,1193,251,76,847,14,0,5
LK-1106065,1005,464,85,443,0,1,12
LK-1106070,694,375,30,272,0,0,17
LK-1106075,1098,524,70,495,1,0,8
LK-1106080,843,235,30,572,0,0,6
LK-1106085,891,193,58,636,2,0,2
LK-1106090,793,123,80,586,0,0,4
LK-1106095,935,166,108,659,1,0,1
LK-1106100,496,52,71,368,3,0,2
LK-1106105,781,145,246,387,1,0,2
LK-1106110,537,39,47,448,2,0,1
LK-1106115,1343,266,390,673,1,0,13
LK-1106120,954,256,259,425,3,1,10
LK-1106125,2188,259,473,1438,5,1,12
LK-1106130,735,114,81,539,0,0,1
LK-1106135,1104,186,141,767,0,0,10
LK-1106140,781,174,52,552,0,0,3
LK-1106145,1225,364,70,786,2,0,3
LK-1106150,1278,493,51,721,6,1,6
LK-1106155,654,341,13,283,5,0,12
LK-1106160,523,267,5,251,0,0,0
LK-1106165,1520,470,79,967,1,1,2
LK-1106170,638,190,27,410,5,1,5
LK-1106175,985,322,34,624,2,0,3
LK-1106180,877,197,31,644,2,0,3
LK-1106185,803,259,50,478,6,0,10
LK-1106190,515,89,27,398,0,0,1
LK-1106195,645,76,35,534,0,0,0
LK-1106200,616,99,53,456,1,0,7
LK-1106205,1226,177,208,836,0,0,5
LK-1106210,755,50,57,646,1,0,1
LK-1106215,633,56,65,507,1,0,4
LK-1106220,899,256,55,581,0,0,7
LK-1106225,541,100,33,396,4,0,8
LK-1106230,881,128,49,697,3,0,4
LK-1109,65495,24111,1754,39014,161,47,408
LK-1109005,1269,661,51,549,3,1,4
LK-1109010,1008,537,38,426,0,1,6
LK-1109015,1105,485,54,555,0,0,11
LK-1109020,1066,471,34,542,7,0,12
LK-1109025,1089,568,24,491,2,0,4
LK-1109030,1073,548,19,503,0,0,3
LK-1109035,1025,539,36,442,2,0,6
LK-1109040,1371,956,35,369,2,2,7
LK-1109045,1253,772,34,440,2,2,3
LK-1109050,537,383,6,144,1,0,3
LK-1109055,1535,405,39,1049,7,0,35
LK-1109060,1415,591,21,792,6,0,5
LK-1109065,816,245,14,548,1,1,7
LK-1109070,1933,410,32,1470,6,2,13
LK-1109075,1112,527,11,567,1,3,3
LK-1109080,2368,1556,33,754,4,0,21
LK-1109085,708,507,19,182,0,0,0
LK-1109090,494,388,8,95,1,1,1
LK-1109095,1214,804,72,315,2,0,21
LK-1109100,552,473,2,77,0,0,0
LK-1109105,492,393,7,90,1,0,1
LK-1109110,692,523,7,155,1,1,5
LK-1109115,1972,584,48,1331,2,2,5
LK-1109120,1356,589,16,745,1,4,1
LK-1109125,1587,491,38,1038,3,0,17
LK-1109130,1291,355,19,910,3,2,2
LK-1109135,967,159,16,779,3,2,8
LK-1109140,699,209,1,485,2,0,2
LK-1109145,1782,395,60,1307,1,2,17
LK-1109150,2410,484,80,1822,5,3,16
LK-1109155,2203,458,62,1671,3,0,9
LK-1109160,1142,140,32,958,5,0,7
LK-1109165,815,125,92,569,7,0,22
LK-1109170,601,65,29,502,2,0,3
LK-1109175,677,57,14,600,5,0,1
LK-1109180,563,49,13,498,1,0,2
LK-1109185,1944,615,91,1227,2,1,8
LK-1109190,1946,472,80,1376,4,0,14
LK-1109195,1584,575,60,942,1,0,6
LK-1109200,1229,589,22,607,4,1,6
LK-1109205,1511,690,16,791,0,1,13
LK-1109210,790,393,7,385,2,1,2
LK-1109215,820,321,24,470,1,3,1
LK-1109220,1316,499,16,790,4,3,4
LK-1109225,1469,484,59,899,10,1,16
LK-1109230,672,224,11,430,2,0,5
LK-1109235,1393,276,30,1079,8,0,0
LK-1109240,633,7,21,597,5,0,3
LK-1109245,601,168,30,396,3,1,3
LK-1109250,834,129,14,679,5,0,7
LK-1109255,458,16,4,438,0,0,0
LK-1109260,499,43,12,439,1,0,4
LK-1109265,1184,115,15,1043,8,1,2
LK-1109270,811,82,15,706,2,1,5
LK-1109275,1178,409,75,679,6,0,9
LK-1109280,1467,571,29,854,1,2,10
LK-1109285,964,531,7,417,0,2,7
LK-1112,62127,31622,1536,28393,114,62,400
LK-1112005,1953,1103,31,810,3,1,5
LK-1112010,411,282,5,118,0,0,6
LK-1112015,374,303,2,67,0,0,2
LK-1112020,493,425,5,62,0,0,1
LK-1112025,443,332,0,110,0,0,1
LK-1112030,428,274,6,145,1,1,1
LK-1112035,763,538,5,217,0,2,1
LK-1112040,723,511,17,192,0,0,3
LK-1112045,688,495,6,184,0,1,2
LK-1112050,331,261,3,66,0,1,0
LK-1112055,814,488,15,298,0,0,13
LK-1112060,630,282,12,326,2,0,8
LK-1112065,456,224,5,224,2,0,1
LK-1112070,1739,955,26,746,2,4,6
LK-1112075,756,536,12,205,0,0,3
LK-1112080,1170,776,24,355,3,1,11
LK-1112085,1089,626,11,440,4,4,4
LK-1112090,547,298,11,237,0,0,1
LK-1112095,376,177,4,188,3,0,4
LK-1112100,811,250,9,540,0,0,12
LK-1112105,143,8,2,125,8,0,0
LK-1112110,781,274,11,488,2,1,5
LK-1112115,471,243,4,220,0,0,4
LK-1112120,873,417,24,408,1,1,22
LK-1112125,863,471,30,352,0,0,10
LK-1112130,926,188,48,683,1,0,6
LK-1112135,671,165,33,461,1,0,11
LK-1112140,592,241,30,310,4,0,7
LK-1112145,748,236,9,500,1,1,1
LK-1112150,836,318,7,511,0,0,0
LK-1112155,1047,508,18,509,2,3,7
LK-1112160,572,345,14,206,0,0,7
LK-1112165,1629,972,54,592,2,5,4
LK-1112170,1210,830,17,353,2,2,6
LK-1112175,721,530,9,176,2,0,4
LK-1112180,865,373,5,481,0,1,5
LK-1112185,653,353,5,294,1,0,0
LK-1112190,1161,236,91,822,2,0,10
LK-1112195,927,156,65,688,3,0,15
LK-1112200,1102,308,208,575,0,1,10
LK-1112205,1159,516,34,604,2,1,2
LK-1112210,802,334,15,447,0,1,5
LK-1112215,407,96,8,300,1,0,2
LK-1112220,645,163,11,465,1,1,4
LK-1112225,651,177,7,460,4,1,2
LK-1112230,1249,236,30,977,2,0,4
LK-1112235,596,0,6,588,2,0,0
LK-1112240,918,269,32,604,6,0,7
LK-1112245,1251,694,31,502,3,2,19
LK-1112250,859,463,18,369,3,0,6
LK-1112255,667,388,15,261,0,2,1
LK-1112260,1083,447,52,555,1,1,27
LK-1112265,853,485,35,322,3,2,6
LK-1112270,705,481,5,210,1,1,7
LK-1112275,974,570,12,374,1,2,15
LK-1112280,549,394,16,136,2,0,1
LK-1112285,780,499,6,272,0,0,3
LK-1112290,1026,664,11,337,1,3,10
LK-1112295,396,301,5,89,0,1,0
LK-1112300,512,344,1,166,0,1,0
LK-1112305,836,383,14,431,3,2,3
LK-1112310,878,17,9,847,1,0,4
LK-1112315,1053,483,28,538,2,1,1
LK-1112320,799,330,34,423,3,0,9
LK-1112325,549,202,18,327,0,1,1
LK-1112330,482,246,16,217,0,0,3
LK-1112335,438,234,8,193,0,1,2
LK-1112340,839,574,17,246,0,1,1
LK-1112345,729,503,17,207,1,1,0
LK-1112350,549,411,6,129,0,0,3
LK-1112355,648,451,8,186,2,0,1
LK-1112360,850,530,15,302,3,0,0
LK-1112365,703,397,8,296,1,1,0
LK-1112370,555,301,21,226,0,1,6
LK-1112375,770,458,20,287,1,1,3
LK-1112380,334,192,4,128,10,0,0
LK-1112385,542,209,9,307,0,1,16
LK-1112390,522,311,7,201,0,2,1
LK-1112395,251,199,0,52,0,0,0
LK-1112400,646,461,11,170,2,0,2
LK-1112405,1286,901,23,358,0,0,4
LK-1115,28739,23107,439,4981,42,14,156
LK-1115005,451,431,0,20,0,0,0
LK-1115010,498,445,3,44,1,0,5
LK-1115015,296,287,0,9,0,0,0
LK-1115020,167,155,1,10,0,0,1
LK-1115025,539,509,0,30,0,0,0
LK-1115030,805,586,12,204,0,2,1
LK-1115035,377,316,3,58,0,0,0
LK-1115040,200,150,25,13,0,0,12
LK-1115045,531,232,51,228,1,1,18
LK-1115050,475,280,8,171,1,0,15
LK-1115055,671,308,81,268,4,0,10
LK-1115060,428,217,30,169,5,0,7
LK-1115065,431,385,0,45,0,1,0
LK-1115070,678,519,3,153,2,1,0
LK-1115075,385,318,2,63,2,0,0
LK-1115080,290,250,1,38,1,0,0
LK-1115085,325,309,1,15,0,0,0
LK-1115090,296,282,1,13,0,0,0
LK-1115095,364,288,1,72,1,0,2
LK-1115100,636,496,2,138,0,0,0
LK-1115105,505,428,2,72,1,0,2
LK-1115110,469,358,8,101,0,1,1
LK-1115115,351,276,2,72,0,0,1
LK-1115120,541,417,3,115,1,0,5
LK-1115125,459,412,3,42,2,0,0
LK-1115130,490,301,34,148,0,0,7
LK-1115135,407,295,6,105,0,0,1
LK-1115140,472,263,23,172,2,1,11
LK-1115145,715,388,17,302,2,0,6
LK-1115150,871,753,13,102,0,2,1
LK-1115155,328,199,9,116,0,0,4
LK-1115160,342,276,1,64,0,1,0
LK-1115165,487,361,4,121,0,1,0
LK-1115170,575,518,2,54,0,0,1
LK-1115175,394,339,2,51,0,0,2
LK-1115180,509,472,2,35,0,0,0
LK-1115185,941,760,13,164,1,1,2
LK-1115190,233,196,0,35,0,0,2
LK-1115195,358,349,0,1,0,0,8
LK-1115200,369,261,7,98,0,1,2
LK-1115205,694,449,23,217,1,0,4
LK-1115210,376,276,0,97,3,0,0
LK-1115215,424,344,2,72,0,0,6
LK-1115220,299,250,0,48,0,1,0
LK-1115225,448,426,0,19,1,0,2
LK-1115230,318,313,1,2,1,0,1
LK-1115235,410,398,0,12,0,0,0
LK-1115240,561,550,0,10,1,0,0
LK-1115245,297,293,0,4,0,0,0
LK-1115250,403,351,0,50,2,0,0
LK-1115255,427,355,0,72,0,0,0
LK-1115260,177,167,2,8,0,0,0
LK-1115265,458,406,2,47,2,0,1
LK-1115270,280,228,2,49,0,0,1
LK-1115275,442,313,4,123,0,0,2
LK-1115280,452,400,2,50,0,0,0
LK-1115285,680,542,11,122,0,0,5
LK-1115290,213,198,5,10,0,0,0
LK-1115295,340,312,0,27,0,0,1
LK-1115300,164,160,0,3,0,0,1
LK-1115305,135,130,0,5,0,0,0
LK-1115310,180,175,0,4,0,0,1
LK-1115315,197,195,0,2,0,0,0
LK-1115320,198,192,0,5,0,0,1
LK-1115325,317,288,2,26,1,0,0
LK-1115330,439,410,1,26,0,0,2
LK-1115335,515,422,5,87,0,0,1
LK-1115340,236,179,1,53,3,0,0
LK-1118,17144,13866,150,3047,13,5,63
LK-1118005,251,224,0,27,0,0,0
LK-1118010,404,361,0,43,0,0,0
LK-1118015,251,249,0,2,0,0,0
LK-1118020,468,454,1,13,0,0,0
LK-1118025,199,193,0,5,0,0,1
LK-1118030,269,269,0,0,0,0,0
LK-1118035,487,427,2,55,0,0,3
LK-1118040,288,236,5,43,1,1,2
LK-1118045,210,190,1,19,0,0,0
LK-1118050,341,328,1,11,0,0,1
LK-1118055,513,482,0,30,0,1,0
LK-1118060,165,141,3,20,0,0,1
LK-1118065,396,322,2,65,0,1,6
LK-1118070,342,265,2,74,0,0,1
LK-1118075,743,520,24,190,0,1,8
LK-1118080,618,360,5,250,0,0,3
LK-1118085,313,185,2,126,0,0,0
LK-1118090,729,401,17,308,1,0,2
LK-1118095,401,285,3,112,0,1,0
LK-1118100,598,414,11,167,4,0,2
LK-1118105,308,259,2,47,0,0,0
LK-1118110,559,478,8,64,0,0,9
LK-1118115,497,387,6,102,0,0,2
LK-1118120,412,377,0,34,0,0,1
LK-1118125,601,440,10,145,1,0,5
LK-1118130,277,227,1,49,0,0,0
LK-1118135,334,192,4,136,1,0,1
LK-1118140,301,206,1,93,0,0,1
LK-1118145,370,323,4,39,1,0,3
LK-1118150,252,190,2,59,0,0,1
LK-1118155,364,288,2,73,1,0,0
LK-1118160,532,405,11,113,1,0,2
LK-1118165,398,357,1,40,0,0,0
LK-1118170,513,351,5,155,0,0,2
LK-1118175,338,315,2,21,0,0,0
LK-1118180,454,379,3,71,0,0,1
LK-1118185,196,178,0,18,0,0,0
LK-1118190,361,320,1,39,0,0,1
LK-1118195,440,387,1,52,0,0,0
LK-1118200,253,227,2,23,0,0,1
LK-1118205,188,178,1,9,0,0,0
LK-1118210,159,151,0,7,0,0,1
LK-1118215,376,297,3,73,1,0,2
LK-1118220,234,216,1,16,1,0,0
LK-1118225,216,212,0,4,0,0,0
LK-1118230,225,220,0,5,0,0,0
LK-1121,50293,9654,1906,38113,131,36,453
LK-1121005,1627,239,127,1241,5,2,13
LK-1121010,1623,206,127,1271,4,0,15
LK-1121015,1641,303,32,1292,4,0,10
LK-1121020,1377,291,51,1025,3,0,7
LK-1121025,1703,314,38,1325,5,0,21
LK-1121030,1245,347,24,867,6,0,1
LK-1121035,1476,449,20,1002,2,0,3
LK-1121040,1170,342,24,798,3,0,3
LK-1121045,336,174,3,156,0,1,2
LK-1121050,790,170,28,571,1,7,13
LK-1121055,1137,434,16,684,0,1,2
LK-1121060,652,139,10,500,2,1,0
LK-1121065,1981,531,34,1399,6,1,10
LK-1121070,905,169,22,705,2,4,3
LK-1121075,1078,233,34,796,2,1,12
LK-1121080,1721,254,31,1423,5,1,7
LK-1121085,1511,488,131,864,2,2,24
LK-1121090,1669,243,73,1334,1,1,17
LK-1121095,1260,174,28,1046,5,0,7
LK-1121100,1703,227,66,1391,4,0,15
LK-1121105,971,135,44,780,2,0,10
LK-1121110,620,56,18,542,1,0,3
LK-1121115,1430,160,23,1235,6,0,6
LK-1121120,1071,232,70,754,3,0,12
LK-1121125,738,182,19,532,2,0,3
LK-1121130,1903,555,77,1246,8,3,14
LK-1121135,734,196,30,495,3,0,10
LK-1121140,968,332,29,604,0,1,2
LK-1121145,894,251,75,557,3,5,3
LK-1121150,401,115,28,248,1,3,6
LK-1121155,1384,164,32,1174,9,0,5
LK-1121160,605,69,12,516,3,0,5
LK-1121165,1360,163,42,1143,2,0,10
LK-1121170,1389,189,39,1131,3,0,27
LK-1121175,1815,286,176,1322,3,1,27
LK-1121180,1002,90,21,880,3,0,8
LK-1121185,1916,197,73,1616,4,1,25
LK-1121190,1286,189,56,1012,5,0,24
LK-1121195,705,76,5,620,1,0,3
LK-1121200,1458,228,87,1080,5,0,58
LK-1121205,1038,62,31,936,2,0,7
LK-1124,27583,2616,1979,22571,106,5,306
LK-1124005,2858,521,677,1637,5,0,18
LK-1124010,1505,149,168,1166,5,0,17
LK-1124015,1743,207,150,1366,7,1,12
LK-1124020,782,23,46,707,4,0,2
LK-1124025,1216,212,232,763,1,0,8
LK-1124030,1096,93,36,866,5,1,95
LK-1124035,1529,111,70,1308,9,0,31
LK-1124040,912,57,27,811,8,0,9
LK-1124045,1586,174,102,1290,3,0,17
LK-1124050,1070,102,20,935,3,0,10
LK-1124055,961,79,39,835,3,1,4
LK-1124060,1430,118,42,1254,5,2,9
LK-1124065,1442,73,36,1324,3,0,6
LK-1124070,1478,94,48,1317,12,0,7
LK-1124075,1447,98,27,1314,5,0,3
LK-1124080,928,41,17,860,6,0,4
LK-1124085,1498,148,71,1252,8,0,19
LK-1124090,1324,65,53,1192,2,0,12
LK-1124095,1921,177,100,1624,12,0,8
LK-1124100,857,74,18,750,0,0,15
LK-1127,54176,2233,7489,43622,484,1,347
LK-1127005,1542,11,254,1178,81,0,18
LK-1127010,1871,27,23,1786,9,0,26
LK-1127015,1748,27,179,1486,52,0,4
LK-1127020,1363,46,220,1072,3,0,22
LK-1127025,2093,73,427,1577,5,0,11
LK-1127030,4101,185,1195,2678,19,0,24
LK-1127035,3963,276,1379,2279,15,0,14
LK-1127040,3234,303,658,2179,69,0,25
LK-1127045,1224,35,120,1050,11,0,8
LK-1127050,1489,110,243,1106,8,0,22
LK-1127055,2750,133,386,2183,29,1,18
LK-1127060,2682,48,237,2359,18,0,20
LK-1127065,1670,7,32,1614,12,0,5
LK-1127070,1998,33,65,1879,14,0,7
LK-1127075,4939,221,591,4081,19,0,27
LK-1127080,4443,402,593,3363,71,0,14
LK-1127085,3844,54,268,3483,7,0,32
LK-1127090,2879,41,185,2628,10,0,15
LK-1127095,3370,76,132,3138,13,0,11
LK-1127100,2973,125,302,2503,19,0,24
LK-1130,22691,1156,1630,19576,129,3,197
LK-1130005,1546,103,158,1262,6,1,16
LK-1130010,1512,94,233,1141,4,0,40
LK-1130015,1246,36,24,1159,11,0,16
LK-1130020,1482,90,52,1324,7,0,9
LK-1130025,1397,88,68,1229,3,0,9
LK-1130030,1566,85,85,1377,2,0,17
LK-1130035,1365,19,65,1244,29,0,8
LK-1130040,1464,8,11,1438,1,0,6
LK-1130045,1692,42,136,1481,24,0,9
LK-1130050,1443,126,230,1075,3,1,8
LK-1130055,2407,148,177,2037,16,0,29
LK-1130060,923,41,58,815,6,0,3
LK-1130065,1116,43,82,981,5,0,5
LK-1130070,1391,88,114,1177,8,0,4
LK-1130075,2141,145,137,1836,4,1,18
LK-1131,24573,3009,2882,18118,169,88,307
LK-1131005,2195,139,225,1783,7,5,36
LK-1131010,1667,109,133,1416,5,0,4
LK-1131015,1591,100,122,1350,6,0,13
