ID,FIELD-0000,FIELD-0001,FIELD-0002,FIELD-0003,FIELD-0004,FIELD-0005,FIELD-0006,FIELD-0007,FIELD-0008,FIELD-0009,FIELD-0010,FIELD-0011,FIELD-0012,FIELD-0013
EC-01,572475,123735,11188,1951,360380,29938,26539,12728,2065,38,1560,112,828,1413
EC-01A,27872,210,20,15,21750,2032,3593,0,143,1,1,1,11,95
EC-01B,40373,167,47,13,30764,2853,6118,0,301,1,1,13,29,66
EC-01C,17726,96,17,3,14610,1163,1721,0,35,0,0,9,20,52
EC-01D,22646,418,82,11,18198,1570,2159,0,41,0,0,1,136,30
EC-01E,13804,138,22,21,11126,842,1276,0,58,1,0,0,282,38
EC-01F,22691,777,43,5,20486,795,484,0,30,5,3,0,53,10
EC-01G,24573,809,49,7,20822,1915,746,0,32,0,0,82,59,52
EC-01H,45446,2114,153,42,38090,2954,1696,0,154,0,3,0,16,224
EC-01I,27583,866,50,47,24861,1023,594,0,60,0,0,0,52,30
EC-01J,65495,19129,1176,179,38986,3096,2454,0,245,0,3,2,67,158
EC-01K,45883,22347,4106,849,5789,1134,617,9158,135,5,1546,2,9,186
EC-01L,62127,40535,3247,488,12089,1051,673,3570,276,1,0,1,15,181
EC-01M,50293,8720,268,69,37402,2252,1422,0,76,0,1,0,25,58
EC-01N,63497,26569,1833,190,29493,2772,2178,0,293,20,0,1,39,109
EC-01O,42466,840,75,12,35914,4486,808,0,186,4,2,0,15,124
EC-02,604009,317581,43463,13128,126947,26607,17208,18388,35527,481,274,131,605,3669
EC-02A,43648,8611,721,49,23363,4718,1807,1287,2710,17,33,55,45,232
EC-02B,35190,2936,438,23,15947,3283,6494,385,5259,13,0,2,150,260
EC-02C,71059,28965,3664,411,8270,4818,2914,4033,17197,144,6,5,151,481
EC-02D,38841,27915,4481,2978,951,328,134,1139,719,1,22,0,2,171
EC-02E,43170,29644,6102,3419,1228,263,221,1663,225,2,54,21,5,323
EC-02F,46658,35870,4236,1432,2037,464,169,1189,1042,4,3,0,11,201
EC-02G,45213,31129,4771,1402,4270,586,564,2049,228,1,48,0,2,163
EC-02H,51499,38480,4104,616,4579,525,367,1803,824,1,5,3,15,177
EC-02I,53271,28579,3207,164,7948,2184,1139,2338,6127,287,7,34,156,1101
EC-02J,52839,31365,3955,894,12778,1516,629,1231,346,2,0,6,14,103
EC-02K,39526,28166,4926,1467,2364,456,444,1124,232,1,89,1,10,246
EC-02L,49008,22345,2659,232,17990,3839,1443,0,425,3,2,0,8,62
EC-02M,34087,3576,199,41,25222,3627,883,147,193,5,5,4,36,149
EC-03,305737,138335,41714,13508,63237,9212,5633,20378,7272,90,4933,90,43,1292
EC-03A,44931,13346,1353,179,23105,2450,1508,805,1985,12,0,0,11,177
EC-03B,40907,26659,5807,996,4327,692,399,1175,660,2,7,2,4,177
EC-03C,43352,27351,5788,1278,4458,756,327,2722,163,0,343,1,1,164
EC-03D,26281,12551,5533,2053,473,162,173,3630,204,0,1262,2,2,236
EC-03E,37147,20174,8570,2549,2073,679,390,1825,242,68,439,4,1,133
EC-03F,38653,14493,2958,509,12912,2175,829,1256,3290,0,2,69,8,152
EC-03G,36483,9577,4734,1246,15396,1997,1713,1085,609,7,1,3,12,103
